transaction_number,name,type,quantity
148,RottenFishCo,buy,1
149,MenhirCo,sell,10
150,BoarCo,buy,9
151,GameStart,buy,1
152,MenhirCo,buy,9
153,RottenFishCo,sell,5
154,GameStart,buy,1
155,RottenFishCo,buy,9
156,BoarCo,sell,10
157,BoarCo,sell,3
158,RottenFishCo,sell,7
159,MenhirCo,buy,10
160,GameStart,buy,3
161,GameStart,buy,10
162,BoarCo,buy,6
163,MenhirCo,sell,8
164,BoarCo,sell,9
165,GameStart,buy,9
166,GameStart,sell,3
167,RottenFishCo,sell,9
168,MenhirCo,buy,8
169,RottenFishCo,buy,6
170,MenhirCo,buy,5
171,GameStart,buy,7
172,GameStart,buy,6
173,RottenFishCo,sell,2
174,GameStart,sell,1
175,BoarCo,buy,6
176,GameStart,buy,6
177,MenhirCo,sell,5
178,RottenFishCo,sell,9
179,RottenFishCo,buy,9
180,BoarCo,sell,4
181,RottenFishCo,buy,2
182,BoarCo,buy,4
183,GameStart,buy,4
184,BoarCo,buy,4
185,MenhirCo,buy,6
186,MenhirCo,buy,4
187,MenhirCo,buy,9
188,RottenFishCo,buy,8
189,BoarCo,sell,4
190,GameStart,buy,6
191,BoarCo,buy,4
192,BoarCo,sell,10
193,RottenFishCo,sell,6
194,RottenFishCo,sell,2
195,MenhirCo,sell,1
196,BoarCo,sell,1
197,BoarCo,sell,4
198,BoarCo,buy,3
199,RottenFishCo,sell,2
200,RottenFishCo,sell,9
201,BoarCo,sell,6
202,MenhirCo,sell,5
203,BoarCo,sell,5
204,MenhirCo,buy,4
205,BoarCo,buy,10
206,RottenFishCo,buy,6
207,MenhirCo,buy,9
208,RottenFishCo,buy,6
209,RottenFishCo,sell,8
210,BoarCo,sell,4
211,RottenFishCo,sell,3
212,RottenFishCo,buy,8
213,BoarCo,sell,8
214,RottenFishCo,sell,8
215,BoarCo,buy,2
216,BoarCo,sell,2
217,MenhirCo,sell,10
218,RottenFishCo,buy,1
219,MenhirCo,buy,9
220,MenhirCo,buy,3
221,GameStart,buy,1
222,MenhirCo,buy,5
223,BoarCo,buy,8
224,GameStart,buy,2
225,MenhirCo,sell,4
226,MenhirCo,sell,5
227,BoarCo,sell,5
228,BoarCo,buy,6
229,MenhirCo,sell,10
230,RottenFishCo,sell,6
231,GameStart,buy,3
232,GameStart,sell,9
233,BoarCo,sell,9
234,RottenFishCo,sell,8
235,RottenFishCo,sell,3
236,RottenFishCo,buy,1
237,MenhirCo,buy,8
238,MenhirCo,sell,5
239,GameStart,sell,5
240,RottenFishCo,buy,5
241,MenhirCo,sell,1
242,GameStart,sell,1
243,RottenFishCo,buy,3
244,BoarCo,sell,4
245,GameStart,buy,7
246,BoarCo,sell,7
247,GameStart,buy,3
248,BoarCo,sell,2
249,MenhirCo,buy,9
250,RottenFishCo,buy,1
251,RottenFishCo,buy,6
252,BoarCo,sell,5
253,BoarCo,sell,4
254,MenhirCo,sell,4
255,RottenFishCo,buy,3
256,RottenFishCo,sell,8
257,RottenFishCo,buy,3
258,GameStart,buy,10
259,RottenFishCo,buy,9
260,RottenFishCo,buy,8
261,MenhirCo,buy,10
262,BoarCo,buy,9
263,BoarCo,sell,4
264,MenhirCo,buy,2
265,RottenFishCo,buy,4
266,GameStart,buy,3
267,BoarCo,sell,10
268,BoarCo,buy,4
269,MenhirCo,buy,7
270,BoarCo,buy,3
271,BoarCo,buy,4
272,GameStart,buy,7
273,RottenFishCo,buy,4
274,BoarCo,buy,9
275,RottenFishCo,buy,8
276,RottenFishCo,buy,7
277,BoarCo,buy,9
278,RottenFishCo,sell,8
279,RottenFishCo,sell,8
280,RottenFishCo,sell,7
281,GameStart,buy,5
282,GameStart,buy,7
283,RottenFishCo,sell,6
284,GameStart,buy,2
285,MenhirCo,buy,1
286,BoarCo,buy,3
287,GameStart,sell,9
288,BoarCo,buy,8
289,BoarCo,buy,1
290,GameStart,buy,7
291,GameStart,sell,4
292,GameStart,buy,6
293,MenhirCo,sell,6
294,BoarCo,buy,9
295,MenhirCo,sell,4
296,BoarCo,buy,3
297,MenhirCo,sell,5
298,RottenFishCo,sell,2
299,RottenFishCo,sell,3
300,MenhirCo,sell,10
